104TT, ,Deadstock Ralph Lauren Polo Bear Sweatshirt / Large /  L /  Grey  / 104TT,FALSE,£79.95,103.935, L,Pit to pit: 21" // Shoulder to bottom: 24" , Grey ,Ralph Lauren,Size on label: L<br>Recommended size: L<br>Pit to pit: 21" // Shoulder to bottom: 24" <br>Colour: Grey <br>Condition: Brand new never worn. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3248.jpg?v=1606331002|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3249.jpg?v=1606331002|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3250.jpg?v=1606331002,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-ralph-lauren-polo-bear-sweatshirt-large
105TT, , 90’S NIKE SPELLOUT SWEATSHIRT / SMALL / *Bootleg Nike  / Pit to pit: 22" // Shoulder to bottom: 28"  / 105TT,FALSE,£74.95,97.435,*Bootleg Nike ,Recommended size: S,Pit to pit: 22" // Shoulder to bottom: 28" ,Nike,*Bootleg Nike <br>Size on label: S<br>Recommended size: S<br>Pit to pit: 22" // Shoulder to bottom: 28" <br>Colour: Red ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/A008BD3E-F2F2-4524-8F05-955860A2BD11.jpg?v=1605894100|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/4E85EE4E-2029-4FC5-89CA-DCC2F801A4C4.jpg?v=1605894101|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/ECA5AC9D-490A-440B-A2D1-D9FB8C93637B.jpg?v=1605894100,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-sweatshirt-large
106TT, , 90's Nike Spellout Sweatshirt / Small / *Bootleg Nike / Pit to pit: 22" // Shoulder to bottom: 28"  / 106TT,FALSE,£74.95,97.435,*Bootleg Nike,Recommended size: S,Pit to pit: 22" // Shoulder to bottom: 28" ,Nike,*Bootleg Nike<br>Size on label: S<br>Recommended size: S<br>Pit to pit: 22" // Shoulder to bottom: 28" <br>Colour: Navy ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/6CAF30E2-DA55-476A-8909-C14C035D75B7.jpg?v=1605894157|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/C7649362-5A45-4AD7-BBD8-9A6E5242E464.jpg?v=1605894157|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/C90DF67D-E2A7-481F-BC90-0D9F89D11CE6.jpg?v=1605894157,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-sweatshirt-small
107TT, , Champion Hoodie / Xtra Large /  XL /  Grey  / 107TT,FALSE,£29.95,48.425, XL,Pit to pit: 27" // Shoulder to bottom: 30" , Grey ,Champion,Size on label: XL<br>Recommended size: XL<br>Pit to pit: 27" // Shoulder to bottom: 30" <br>Colour: Grey <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3249_7850a6c9-6436-45f0-96c2-4d4153cd2208.jpg?v=1605632656|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3250_6de3da62-35d5-4f59-bd86-188e0d38b86f.jpg?v=1605632658|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3251_9982f6ac-793f-4633-a56d-38d89fb213ef.jpg?v=1605632656,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-champion-hoodie-xtra-large
108TT, , 80's Puma Sweatshirt / Medium /  40 /  Mint / Purple  / 108TT,FALSE,£34.95,54.1775, 40,Pit to pit: 23" // Shoulder to bottom: 26" , Mint / Purple ,Puma,Size on label: 40<br>Recommended size: M<br>Pit to pit: 23" // Shoulder to bottom: 26" <br>Colour: Mint / Purple <br>Condition: Very good vintage condition! Some signs of wear. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3245_964f456e-683c-42c3-8b50-64e87916c640.jpg?v=1605632545|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3247_3335a809-6428-4306-a179-f341fe0e89c6.jpg?v=1605632545|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3248_a4c78b58-1dcc-4373-a1e6-82b6700e42e5.jpg?v=1605632545|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3246_eca032a9-f8aa-4387-bc94-d23b2986a82e.jpg?v=1605632546,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-80s-puma-sweatshirt-medium-1
109TT, , 00's Adidas Sweatshirt / Large /  L /  Red / 109TT,FALSE,£29.95,48.425, L,Pit to pit: 24" // Shoulder to bottom: 29" , Red,Adidas,Size on label: L<br>Recommended size: L<br>Pit to pit: 24" // Shoulder to bottom: 29" <br>Colour: Red<br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3238_9d03e53a-24d1-4941-9b29-b84cb13fdc33.jpg?v=1605632113|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3239_529f8b41-9a13-4e52-9f80-95796da5210e.jpg?v=1605632113,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-00s-adidas-sweatshirt-large-2
110TT, , 90's Nike Hoodie / Xtra Large /  XXL /  Navy  / 110TT,FALSE,£29.95,48.425, XXL,Pit to pit: 27" // Shoulder to bottom: 30" , Navy ,Nike,Size on label: XXL<br>Recommended size: XL<br>Pit to pit: 27" // Shoulder to bottom: 30" <br>Colour: Navy <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3223.jpg?v=1605631481|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3224_27ee8d26-df09-40dd-bde7-7f789bf28e40.jpg?v=1605631480|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3225_792abe22-b85c-4a3d-958c-16d27d6638b5.jpg?v=1605631481,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90s-nike-hoodie-xtra-large
111TT, , 00's Nike Hoodie / Large /  XL /  Camo Green  / 111TT,FALSE,£24.95,40.925, XL,Pit to pit: 25" // Shoulder to bottom: 28" , Camo Green ,Nike,Size on label: XL<br>Recommended size: L<br>Pit to pit: 25" // Shoulder to bottom: 28" <br>Colour: Camo Green <br>Condition: Very good vintage condition. ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3294_2b509b8e-51be-40cc-9c56-2bcf8c2c07b8.jpg?v=1605544116|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3295_242dc498-e8ab-4b6b-81b0-f0d383d07b52.jpg?v=1605544116|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/DSC_3296_b417c8fa-0001-43e1-a815-6af40993462d.jpg?v=1605544116,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-00s-nike-hoodie-large-1
112TT, , 90’s Women’s Nike Sweatshirt / Small /  S /  Pink / Red  / 112TT,FALSE,£49.95,75.9275, S,Pit to pit: 21" // Shoulder to bottom: 25" , Pink / Red ,Nike,Size on label: S<br>Recommended size: S<br>Pit to pit: 21" // Shoulder to bottom: 25" <br>Colour: Pink / Red <br>Condition: Excellent vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/4EB5351C-248F-4381-A16F-D01393AAFA4A.jpg?v=1604483882|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/8594C604-0117-4379-9E9E-2359381625E2.jpg?v=1604483882|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/CB431796-4EB9-4A4F-8365-8532758A3212.jpg?v=1604483883,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/deadstock-90-s-women-s-nike-sweatshirt-small
113TT, ,RARE  90’s Nike Sweatshirt / Large /  XL /  Black  / 113TT,FALSE,£94.95,123.435, XL,Pit to pit: 26" // Shoulder to bottom: 27.5" , Black ,Nike,Size on label: XL<br>Recommended size: L <br>Pit to pit: 26" // Shoulder to bottom: 27.5" <br>Colour: Black <br>Condition: Very good vintage condition! ,http://cdn.shopify.com/s/files/1/0380/3099/9685/products/935ED700-7294-4FDC-BEF4-520E2E92776C.jpg?v=1604483663|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/FFDE0224-178D-4598-A842-F36CF092CBEF.jpg?v=1604483663|http://cdn.shopify.com/s/files/1/0380/3099/9685/products/3663C37D-1BA7-4C0D-B59E-E33B6A033B2A.jpg?v=1604483663,https://www.taylorsthrift.com//collections/sweaters-hoodies/products/vintage-90-s-nike-just-do-it-sweatshirt-large
