"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","Seed Feeders","","","","","42350","All listings are being moved into [Bird Feeders - 260937].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Hedgehog Houses","","","","","260936","New Category",""
"","","","Other Bird & Wildlife Accs","","","","","75579","",""
"","+","Composting & Garden Waste","","","","","","181020","",""
"","-","Décor","","","","","","20498","Renamed from [Garden Ornaments]",""
"","","","Flags","","","","","43533","",""
"","","","Flag Poles & Parts","","","","","43536","",""
"","","","Ornaments & Statues","","","","","29511","Renamed from [Statues & Lawn Ornaments]",""
"","","","Pebbles, Stones & Step Stones","","","","","118863","Renamed from [Decorative Stepping Stones]",""
"","","","Plant Stands","","","","","29514","",""
"","","","Planters & Vases","","","","","260926","New Category",""
"","","","Plaques & Signs","","","","","75592","Renamed from [Garden Plaques & Signs]",""
"","","","Rain Gauges","","","","","75593","",""
"","","","Sundials","","","","","10025","",""
"","","","Thermometers","","","","","75601","Renamed from [Outdoor Thermometers]",""
"","","","Weather Vanes","","","","","20512","Renamed from [Weathervanes]",""
"","","","Wind Chimes","","","","","20513","Renamed from [Windchimes & Mobiles]",""
"","","","Windmills & Wind Spinners","","","","","115772","",""
"","","","Other Garden & Patio Décor","","","","","2034","Renamed from [Other Garden Ornaments]",""
"","-","Garden Clothing & Protective Gear","","","","","","159473","Renamed from [Garden Clothing & Gear]",""
"","","","Clothing","","","","","20545","Renamed from [Clothing & Protective Gear]",""
"","","","Garden Kneelers, Cushions & Seats","","","","","75669","Renamed from [Garden Kneelers, Pads & Seats]",""
"","","","Gardening Boots & Shoes","","","","","139861","",""
"","","","Gardening Gloves & Knee Pads","","","","","139864","Renamed from [Gardening Gloves]",""
"","","","Protective Gear","","","","","260909","New Category",""
"","","","Tool Carriers, Aprons & Belts","","","","","75668","",""
"","","","Other Garden Clothing & Protective Gear","","","","","25873","Renamed from [Other Garden Clothing & Gear]",""
"","-","Garden Fencing, Privacy Screens & Gates","","","","","","177032","Renamed from [Garden Fencing]",""
"","","","Chain Link Fencing","","","","","180984","",""
"","","","Electric Fencing","","","","","157815","",""
"","","","Fence Panels","","","","","139946","",""
"","","","Fence Pickets","","","","","180986","",""
"","","","Fence Posts","","","","","139949","",""
"","","","Fencing Clips & Brackets","","","","","180987","The Category ID is being changed to [261006].","Please update your category ID accordingly."
"","","","Fencing Clips & Brackets","","","","","261006","New Category",""
"","","","Gabion Baskets","","","","","157816","Renamed from [Gabion Baskets & Gabion Stones]",""
"","","","Garden Gates","","","","","139948","",""
"","","","Garden Gate Parts","","","","","261002","New Category",""
"","","","Garden Gate Accessories","","","","","261003","New Category",""
"","","","Mesh","","","","","180985","Renamed from [Hardware Cloth, Metal Mesh]",""
"","","","Post Bases, Supports & Spikes","","","","","180988","",""
"","","","Post Caps","","","","","180989","All listings are being moved into [Garden Fencing Accessories - 261005].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Post Drivers","","","","","180990","",""
"","","","Privacy Screens & Windscreens","","","","","180991","Renamed from [Privacy Screens, Windscreens]",""
"","","","Railings","","","","","139950","",""
"","","","Trellises","","","","","43538","",""
"","","","Trellis Parts","","","","","261004","New Category",""
"","","","Garden Fencing Accessories","","","","","261005","New Category",""
"","","","Other Garden Fencing","","","","","177033","",""
"","-","Garden Hand Tools & Equipment","","","","","","181033","",""
"","","","Axes & Hatchets","","","","","151620","",""
"","","","Bonsai Tools","","","","","75664","",""
"","","","Fruit Pickers","","","","","181010","",""
"","","","Garden Forks","","","","","122906","",""
"","","","Hoes & Cultivators","","","","","118868","",""
"","","","Ice Melt & Traction Control","","","","","260927","New Category",""
"","","","Lawn Aerators","","","","","115775","",""
"","","","Lawn Rollers","","","","","161015","",""
"","","","Loppers","","","","","139868","",""
"","","","Manual Edgers","","","","","178980","",""
"","","","Mattocks & Picks","","","","","178982","",""
"","","","Post Hole Diggers & Augers","","","","","178981","",""
"","","","Rakes","","","","","118864","",""
"","","","Saws","","","","","139869","",""
"","","","Scythes & Sickles","","","","","139870","",""
"","","","Secateurs & Pruners","","","","","139871","",""
"","","","Seeders & Spreaders","","","","","118869","Moved from [Plant Care, Soil & Accessories-179308]",""
"","","","Shears","","","","","139872","",""
"","","","Shovels & Spades","","","","","178983","",""
"","","","Trowels","","","","","122907","",""
"","","","Weeders","","","","","178977","Moved from [Weed Control-181047]",""
"","","","Wheelbarrows & Carts","","","","","75671","",""
"","","","Garden Tool Racks & Organisers","","","","","181011","",""
"","","","Garden Tool Sets","","","","","118867","",""
"","","","Garden Tool Parts","","","","","178978","Renamed from [Parts & Accessories]",""
"","","","Garden Tool Accessories","","","","","260844","New Category",""
"","","","Other Garden Hand Tools & Equipment","","","","","3186","Renamed from [Other Hand Tools & Equipment]",""
"","-","Garden Lighting","","","","","","42154","",""
"","","","Decorative Lights","","","","","260929","New Category",""
"","","","Garden & Patio Torches","","","","","183391","Renamed from [Garden Solar & Flame Torches]",""
"","","","Landscape & Walkway Lights","","","","","94940","",""
"","","","Lanterns","","","","","183392","Renamed from [Outdoor Décor Candle Lanterns]",""
"","","","Parasol Lights","","","","","260930","New Category",""
"","","","Security & Floodlights","","","","","183393","Renamed from [Outdoor Security & Floodlights]",""
"","","","String Lights","","","","","183394","Renamed from [Outdoor String Lights]",""
"","","","Wall & Ceiling Lights","","","","","94939","Renamed from [Outdoor Wall & Ceiling Lights]",""
"","","","Garden Lighting Accessories","","","","","20509","Renamed from [Other Garden Lighting]",""
"","-","Garden Power Tools & Equipment","","","","","","29518","",""
"","","","Chainsaws","","","","","42226","",""
"","","","Chainsaw Parts","","","","","85915","Renamed from [Chainsaw Parts & Accessories]",""
"","","","Chainsaw Accessories","","","","","261012","New Category",""
"","","","Chippers, Shredders & Mulchers","","","","","42228","Renamed from [Chippers/Shredders/Mulchers]",""
"","","","Cleaning Concentrates & Liquids","","","","","126403","New Category",""
"","","","Edgers","","","","","71266","",""
"","","","Grass Shears","","","","","161001","",""
"","","","Hedge Trimmers","","","","","71268","",""
"","","","Hole Diggers & Augers","","","","","169164","",""
"","","","Leaf Blowers & Vacuums","","","","","71273","",""
"","","","Leaf Blower & Vacuum Parts","","","","","159930","",""
"","","","Leaf Blower & Vacuum Accessories","","","","","261014","New Category",""
"","","","Log Splitters","","","","","39019","",""
"","","","Multi-Purpose Engines","","","","","79670","",""
"","","","Pressure Washers","","","","","50388","",""
"","","","Pressure Washer Parts","","","","","261015","New Category",""
"","","","Pressure Washer Accessories","","","","","261016","New Category",""
"","","","Rotovators & Aerators","","","","","29519","Renamed from [Rotovators/Aerators]",""
"","","","Snow Blowers","","","","","42230","",""
"","","","Snow Blower Parts & Accessories","","","","","259654","All listings are being moved into [Other Outdoor Power Equipment Parts - 261020].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Strimmers","","","","","71277","",""
"","","","Strimmer Parts","","","","","71278","Renamed from [Strimmer Parts & Accessories]",""
"","","","Other Garden Power Tools","","","","","29520","All listings are being moved into [Other Outdoor Power Equipment Accessories - 261019].","Before 6 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Strimmer Accessories","","","","","261017","New Category",""
"","","","Sweepers","","","","","84204","New Category",""
"","","","Other Outdoor Power Equipment Parts","","","","","261020","New Category",""
"","","","Other Outdoor Power Equipment Accessories","","","","","261019","New Category",""
"","-","Garden & Patio Furniture","","","","","","25863","",""
"","","","Benches","","","","","260928","New Category",""
"","","","Hammocks","","","","","20719","",""
"","","","Loungers","","","","","79684","",""
"","","","Garden Chairs","","","","","79682","Renamed from [Garden Chairs, Swings & Benches]",""
"","","","Garden Furniture Cushions & Pads","","","","","79683","",""
"","","","Garden & Patio Furniture Sets","","","","","139849","",""
"","","","Garden & Patio Tables","","","","","112590","",""
"","","","Outdoor Daybeds","","","","","138996","New Category",""
"","","","Outdoor Furniture Covers","","","","","177031","",""
"","","","Storage Deck Boxes","","","","","184533","",""
"","","","Swing Seats","","","","","79700","New Category",""
"","","","Other Garden & Patio Furniture","","","","","10035","",""
"","-","Garden Structures & Shade","","","","","","177017","",""
"","","","Arbours & Arches","","","","","180993","",""
"","","","Awnings & Canopies","","","","","180992","",""
"","","","Awning & Canopy Parts","","","","","161045","Renamed from [Awning Parts & Accessories]",""
"","","","Bridges","","","","","115773","",""
"","","","Conservatories","","","","","109072","",""
"","","","Dustbin Storage","","","","","161059","Renamed from [Dustbin Storage Boxes]",""
"","","","Log Cabins & Summerhouses","","","","","122860","All listings are being moved into [Sheds, Summerhouses & Carports - 139956].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Parasol Bases","","","","","180999","The Category ID is being changed to [261010].","Please update your category ID accordingly."
"","","","Pergolas","","","","","180996","All listings are being moved into [Gazebos & Pergolas - 180995].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Gazebos & Pergolas","","","","","180995","Renamed from [Gazebos]",""
"","","","Gazebo & Pergola Parts","","","","","159472","Renamed from [Gazebo Parts & Accessories]",""
"","","","Greenhouses & Cold Frames","","","","","139939","",""
"","","","Greenhouse Accessories","","","","","261007","New Category",""
"","","","Marquees","","","","","180994","Renamed from [Marquees & Tents]",""
"","","","Parasols","","","","","180998","",""
"","","","Parasol Bases","","","","","261010","New Category",""
"","","","Parasol Accessories","","","","","261011","New Category",""
"","","","Shade Sails","","","","","180997","",""
"","","","Shade Sail Hardware","","","","","261009","New Category",""
"","","","Sheds, Summerhouses & Carports","","","","","139956","Renamed from [Garden Sheds]",""
"","","","Tarpaulins","","","","","261008","New Category",""
"","","","Other Structures & Shade","","","","","177026","",""
"","-","Hydroponics","","","","","","43554","Renamed from [Hydroponics & Seed Starting]",""
"","","","Bubble Ice Bags & Extraction Bags","","","","","260940","New Category",""
"","","","Complete Growing Kits","","","","","260953","New Category",""
"","","-","Fans, Filters & Environmental Control","","","","","260942","New Category",""
"","","","","Air Ventilation & Extraction","","","","178985","Moved from [Hydroponics & Seed Starting-43554] Renamed from [Environmental Controls]",""
"","","","","Carbon Filters","","","","260946","New Category",""
"","","","","Climate Control & Air Purification","","","","260943","New Category",""
"","","","","Ducting & Accessories","","","","260945","New Category",""
"","","-","Grow Lighting & Accessories","","","","","260947","New Category",""
"","","","","Grow Light Ballasts","","","","179016","Moved from [Hydroponics & Seed Starting-43554]",""
"","","","","Grow Light Kits","","","","178989","Moved from [Hydroponics & Seed Starting-43554]",""
"","","","","Grow Lights & Lamps","","","","178988","Moved from [Hydroponics & Seed Starting-43554] Renamed from [Grow Light Bulbs]",""
"","","","","Grow Light Accessories","","","","178987","Moved from [Hydroponics & Seed Starting-43554] Renamed from [Grow Light Parts & Accessories]",""
"","","","Grow Tents, Dry Racks & Shelves","","","","","178993","Renamed from [Tents, Tarps & Shelves]",""
"","","","Growing Media","","","","","178990","",""
"","","-","Hydroponic Systems, Parts & Accessories","","","","","260949","New Category",""
"","","","","Hydroponic Systems","","","","178991","Moved from [Hydroponics & Seed Starting-43554]",""
"","","","","Grow Pots, Net Pots & Seed Starting Trays","","","","260952","New Category",""
"","","","","Water Aeration Equipment","","","","179022","Moved from [Hydroponics & Seed Starting-43554] Renamed from [Hydroponic Parts & Accessories]",""
"","","","","Water Pumps","","","","260950","New Category",""
"","","","Nutrients, Supplements & pH Control","","","","","178992","Renamed from [Nutrients, pH & Supplements]",""
"","","","Propagation & Cloning Equipment","","","","","178986","Renamed from [Propagators]",""
"","","","Trimming Machines","","","","","260941","New Category",""
"","","","Other Hydroponics","","","","","20546","",""
"","-","Landscaping & Garden Materials","","","","","","181027","",""
"","","","Artificial Grass","","","","","181031","Renamed from [Artificial Grass & Turf]",""
"","","","Edging & Borders","","","","","161008","",""
"","","","Ground Reinforcement","","","","","181029","Renamed from [Ground Reinforcement Grids]",""
"","","","Landscape Fabric & Membranes","","","","","181030","",""
"","","-","Patio, Deck & Walkway","","","","","118858","Renamed from [Paving & Decking]",""
"","","","","Brick & Patio Cleaners","","","","181017","",""
"","","","","Decking Boards, Tiles & Joists","","","","118860","",""
"","","","","Decking Fixings & Spacers","","","","181016","",""
"","","","","Pathway Stones, Pebbles & Resin","","","","118861","Moved from [Landscaping & Garden Materials-181027] Renamed from [Stones, Gravel & Chippings]",""
"","","","","Patio Stones & Paving Slabs","","","","118859","",""
"","","","","Paving & Concrete Moulds","","","","181018","",""
"","","","","Other Paving & Decking Accessories","","","","59042","Renamed from [Other Paving/Decking Supplies]",""
"","","","Pegs, Pins & Staples","","","","","181028","",""
"","","","Railway Sleepers","","","","","112585","",""
"","","","Other Landscaping Material Accessories","","","","","181032","Renamed from [Other Landscaping Materials]",""
"","-","Lawn Mowers, Parts & Accessories","","","","","","43560","Renamed from [Lawn Mowers]",""
"","","","Push Lawn Mowers","","","","","71272","All listings are being moved into [Lawn Mowers - 260921].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Ride-On Lawn Mowers","","","","","177021","All listings are being moved into [Lawn Mowers - 260921].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Robotic Lawn Mowers","","","","","259625","All listings are being moved into [Lawn Mowers - 260921].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Lawn Mower Parts & Accessories","","","","","82248","All listings are being moved into [Lawn Mower Parts - 260923].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Lawn Mowers","","","","","159929","All listings are being moved into [Lawn Mower Parts - 260923].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Lawn Mowers","","","","","260921","New Category",""
"","","","Lawn Mower Parts","","","","","260923","New Category",""
"","","","Lawn Mower Accessories","","","","","260922","New Category",""
"","-","Outdoor Heating, Cooking & Eating","","","","","","149242","",""
"","","","Barbecues, Grills & Smokers","","","","","151621","Renamed from [Barbecues]",""
"","","","Outdoor Pizza Ovens","","","","","261001","New Category",""
"","","","Barbecue Accessories","","","","","260931","New Category",""
"","","","Barbecue Covers","","","","","79686","",""
"","","","Barbecue Tools","","","","","20725","Renamed from [Barbecue Tools & Accessories]",""
"","","","Barbecue Replacement Parts","","","","","177018","",""
"","","","Chimineas","","","","","260932","New Category",""
"","","","Fire Pits","","","","","85916","Renamed from [Firepits & Chimeneas]",""
"","","","Patio Heaters","","","","","106402","",""
"","","","Firewood & Charcoal","","","","","84089","",""
"","","","Heater Covers","","","","","260933","New Category",""
"","","","Ice Chests & Coolers","","","","","79691","",""
"","","","Picnic Baskets & Backpacks","","","","","79692","Renamed from [Picnic Baskets & Accessories]",""
"","","","Picnic Accessories","","","","","260934","New Category",""
"","","","Serving Carts","","","","","138995","Moved from [Garden & Patio Furniture-25863]",""
"","","","Other Heating, Cooking & Eating","","","","","159926","Renamed from [Other Barbecuing & Heating]",""
"","-","Plants, Seeds & Bulbs","","","","","","181003","",""
"","","","Cultivated Turf","","","","","181004","",""
"","","","Moss","","","","","181005","",""
"","","","Mushrooms, Spawns & Kits","","","","","181006","",""
"","","-","Plants & Seedlings","","","","","19617","",""
"","","","","Annuals & Biennials","","","","20527","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bamboo","","","","119658","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bonsai","","","","20524","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Cacti & Succulents","","","","42211","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Carnivorous Plants","","","","181019","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Climbers","","","","57223","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Ferns","","","","75606","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fruits","","","","139004","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Herbs","","","","42214","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","House Plants","","","","119688","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Orchids","","","","42218","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Ornamental Grasses","","","","42220","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Perennials","","","","20529","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Roses","","","","40608","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Shrubs & Hedges","","","","3185","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Trees","","","","42351","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Vegetables","","","","139002","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Water Plants","","","","20520","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Plants & Seedlings","","","","40609","All listings are being moved into [Plants & Seedlings - 19617].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Seeds & Bulbs","","","","","40605","",""
"","","","","Annual & Biennial Seeds","","","","20531","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bamboo Seeds","","","","183390","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bonsai Seeds","","","","20525","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bulbs, Corms, Rhizomes & Roots","","","","122891","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Cacti & Succulent Seeds","","","","115100","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Carnivorous Plant Seeds","","","","119636","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Climber Seeds","","","","57224","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fern Spores","","","","181117","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fruit Seeds","","","","120967","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Herb Seeds","","","","42215","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","House Plant Seeds","","","","40606","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Lawn Grass Seeds","","","","19618","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Orchid Seeds","","","","181112","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Ornamental Grass Seeds","","","","181113","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Perennial Seeds","","","","181114","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Rose Seeds","","","","181115","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Shrub & Hedge Seeds","","","","20533","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Tree Seeds","","","","181116","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Vegetable Seeds","","","","42221","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Water Plant Seeds","","","","181118","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Bulk Seeds","","","","181119","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Seeds & Bulbs","","","","8439","All listings are being moved into [Seeds & Bulbs - 40605].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Plants, Seeds & Bulbs","","","","","181052","",""
"","-","Plant Care, Soil & Accessories","","","","","","179308","",""
"","","","Baskets, Pots, Window Boxes & Saucers","","","","","20518","Renamed from [Baskets, Pots & Window Boxes]",""
"","","","Basket & Pot Liners","","","","","181002","",""
"","","","Fertilisers","","","","","119683","",""
"","","","Frost Protection","","","","","139001","",""
"","","","Garden Sprayers","","","","","178984","",""
"","","","Hooks & Hangers","","","","","134671","Renamed from [Plant Hangers & Hooks]",""
"","","","Moisture & pH Meters","","","","","75670","",""
"","","","Mulch","","","","","159419","Renamed from [Bark Chips & Mulch]",""
"","","","Plant Labels","","","","","181000","",""
"","","","Plant Ties & Supports","","","","","181001","",""
"","","","Pot Saucers","","","","","159458","All listings are being moved into [Baskets, Pots, Window Boxes & Saucers - 20518].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Seed Starting Pots & Trays","","","","","159452","",""
"","","","Seed Starting Accessories","","","","","260944","New Category",""
"","","","Self-Watering Aids","","","","","159455","Renamed from [Self Watering Aids]",""
"","","","Soil & Soil Amendments","","","","","159406","Renamed from [Soils & Soil Amendments]",""
"","","","Other Plant Care & Accessories","","","","","25876","",""
"","-","Ponds & Water Features","","","","","","93632","",""
"","","","Complete Pond Kits","","","","","181120","",""
"","","","Hand Nets & Sieves","","","","","157775","",""
"","","","Outdoor Fountains","","","","","20507","",""
"","","","Pond & Fountain Pumps","","","","","139921","",""
"","","","Pond & Fountain Fittings & Pump Parts","","","","","261022","New Category",""
"","","","Pond Décor","","","","","181121","",""
"","","","Pond De-Icers","","","","","157813","Renamed from [Pond De-icers]",""
"","","","Pond Filtration Equipment","","","","","181122","",""
"","","","Pond Filter Media","","","","","85757","Renamed from [Pond Filter Media & Accs]",""
"","","","Pond Filtration Parts","","","","","261023","New Category",""
"","","","Pond Lighting","","","","","181123","",""
"","","","Pond Lighting Parts","","","","","261024","New Category",""
"","","","Pond Liners","","","","","181124","",""
"","","","Pond Planting Accessories","","","","","181125","",""
"","","","Pond Vacuums","","","","","157777","",""
"","","","Pond Vacuums Parts","","","","","261025","New Category",""
"","","","Pond Water Test Kits","","","","","157810","",""
"","","","Pond Water Treatments","","","","","157802","",""
"","","","UV Sterilisers & Ionisers","","","","","42583","",""
"","","","Waterfall Boxes & Spillways","","","","","181126","",""
"","","","Wildlife Protection","","","","","157798","",""
"","","","Pond & Fountain Equip. Parts","","","","","181127","All listings are being moved into [Pond & Fountain Fittings & Pump Parts - 261022].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Ponds & Water Features","","","","","57230","All listings are being moved into [Pond & Fountain Fittings & Pump Parts - 261022].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","-","Swimming Pools, Saunas & Hot Tubs","","","","","","20727","Renamed from [Swimming Pools & Hot Tubs]",""
"","","","Hot Tubs","","","","","84211","",""
"","","","Hot Tub Covers","","","","","181074","",""
"","","","Hot Tub Parts","","","","","181075","",""
"","","+","Pool Chemicals & Testing","","","","","181057","",""
"","","+","Pool Cleaning Tools","","","","","181061","",""
"","","-","Pool Equipment & Parts","","","","","181067","",""
"","","","","Pool Covers, Rollers & Reels","","","","181068","Renamed from [Pool Covers & Rollers]",""
"","","","","Pool Fences","","","","167851","",""
"","","","","Pool Filters","","","","116412","",""
"","","","","Pool Heaters & Solar Panels","","","","42239","",""
"","","","","Pool Ladders & Steps","","","","167847","",""
"","","","","Pool Liners","","","","79676","",""
"","","","","Pool Pumps","","","","181485","",""
"","","","","Pool & Spa Lights","","","","167862","",""
"","","","","Pool Skimmer Systems & Baskets","","","","181069","",""
"","","","","Pool Slides & Diving Boards","","","","181072","",""
"","","","","Pool Water Levelers","","","","259753","",""
