"October 2020 : UK Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","276","","","","","","","","",""
"Retired","405","","","","","","","","",""
"Rename","176","","","","","","","","",""
"Move","52","","","","","","","","",""
"Move & Rename","23","","","","","","","","",""
"Total","932","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"+","Antiques","","","","","","","20081","",""
"+","Art","","","","","","","550","",""
"","","","","","Fuse Covers","","","181841","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Fuse Mounting Accessories","","","181842","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Fuse Accessories","","","66994","All listings are being moved into [Fuse Accessories - 260824].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Fuses","","","","181831","All listings are being moved into [Fuses & Links - 260823].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Fuse Accessories","","","","260824","New Category",""
"","","-","Phase Converters","","","","","185147","",""
"","","","","Digital Static Phase Converters","","","","185148","",""
"","","","","Rotary Phase Converters","","","","185149","",""
"","","","","Phase Converter Parts","","","","185150","Renamed from [Phase Converter Parts & Accessories]",""
"","","-","Power Supplies","","","","","181921","",""
"","","","","Switching Mode Power Supplies","","","","181922","",""
"","","","","Uninterruptible Power Supplies","","","","66995","",""
"","","","","UPS Batteries","","","","181923","",""
"","","","","Power Supply Accessories","","","","181924","",""
"","","","","Other Power Supplies","","","","181925","All listings are being moved into [Switching Mode Power Supplies - 181922].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Relays","","","","","181686","",""
"","","","","General Purpose Relays","","","","36328","",""
"","","","","Control & Machine Tool Relays","","","","181688","",""
"","","","","Latching Relays","","","","181687","",""
"","","","","Overload Protection Relays","","","","181689","",""
"","","","","Overcurrent Protection Relays","","","","181690","",""
"","","","","Plug-In & Ice Cube Relays","","","","181691","Renamed from [Plug-In/Ice Cube Relays]",""
"","","","","Reed Relays","","","","181692","",""
"","","","","Relay Modules & Boards","","","","181693","All listings are being moved into [Relay Accessories - 181697].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Relay Sockets","","","","181694","All listings are being moved into [Relay Accessories - 181697].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Safety Relays","","","","65464","",""
"","","","","Solid State Relays","","","","181695","",""
"","","","","Time Delay Relays","","","","181696","",""
"","","","","Relay Accessories","","","","181697","Renamed from [Relay Parts & Accessories]",""
"","","-","Switches","","","","","181845","",""
"","","","","Control Switches","","","","260826","New Category",""
"","","","","DIP & SIP Switches","","","","181846","",""
"","","","","Joystick & Lever Switches","","","","181847","Renamed from [Joystick/Lever Switches]",""
"","","","","Key Switches","","","","181848","",""
"","","","","Limit & Snap Action Switches","","","","111606","Renamed from [Limit Switches]",""
"","","","","Magnetic & Reed Switches","","","","260827","New Category",""
"","","","","Microswitches","","","","129111","",""
"","","","","Piezo & Touch Switches","","","","181849","All listings are being moved into [Pushbutton Switches - 58166].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Pressure Switches","","","","111607","",""
"","","","","Pushbutton Switches","","","","58166","",""
"","","","","Rocker Switches","","","","58167","",""
"","","","","Rotary Switches","","","","58168","",""
"","","","","Selector Switches","","","","181850","",""
"","","","","Slide Switches","","","","181851","",""
"","","","","Tilt Switches","","","","181852","",""
"","","","","Toggle Switches","","","","26211","",""
"","","","","Switch Mountings","","","","181853","All listings are being moved into [Switch Accessories - 260828].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Electrical Switches","","","","181854","All listings are being moved into [Switch Accessories - 260828].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Switch Accessories","","","","260828","New Category",""
"","","-","Transformers","","","","","181929","",""
"","","","","Autotransformers","","","","181930","",""
"","","","","Current Transformers","","","","181931","",""
"","","","","LAN Ethernet Transformers","","","","181932","All listings are being moved into [Pulse Transformers - 260830].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Portable Tool Transformers","","","","181933","All listings are being moved into [Pulse Transformers - 260830].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","SMPS Transformers","","","","181934","All listings are being moved into [Pulse Transformers - 260830].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Industrial Control & General Purpose Transformers","","","","260829","New Category",""
"","","","","Pulse Transformers","","","","260830","New Category",""
"","","","","Power Transformers","","","","260831","New Category",""
"","","","","Telecom & Audio Transformers","","","","181935","",""
"","","","","Toroidal Transformers","","","","181936","All listings are being moved into [Power Transformers - 260831].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Transformer Accessories","","","","181937","Renamed from [Transformer Parts & Accessories]",""
"","","","","Other Transformers","","","","181938","All listings are being moved into [Power Transformers - 260831].","After 8 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","Wire, Cable & Conduit","","","","","73136","",""
"","","","-","Wire & Cable","","","","260833","New Category",""
"","","","","","Coaxial Cable","","","129139","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Flat & Ribbon Cable","","","129083","Moved from [Wire, Cable & Conduit-73136] Renamed from [Flat/Ribbon Cable]",""
"","","","","","Fibre Optic Cable","","","65511","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Hookup & Lead Wire","","","73139","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Jump Wire","","","181811","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Magnet & Enamelled Wire","","","100180","Moved from [Wire, Cable & Conduit-73136] Renamed from [Magnet/Enamelled Wire]",""
"","","","","","Multiple Conductor Cable","","","73138","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Resistance Wire","","","181810","Moved from [Wire, Cable & Conduit-73136]",""
"","","","","","Telecom Wire & Cable","","","100179","Moved from [Wire, Cable & Conduit-73136]",""
"","","","-","Conduit & Tubing","","","","117489","Renamed from [Conduit, Fittings & Tubing]",""
"","","","","","Conduit","","","42887","",""
"","","","","","Conduit Fittings","","","117490","",""
